ROUND #1
23:16:44.679 -> RED,81,13,19
23:16:51.615 -> RED,86,15,19
23:16:58.292 -> RED,69,12,14
23:17:02.428 -> RED,59,10,12
23:17:10.062 -> RED,81,14,18
23:17:14.900 -> RED,67,11,15
23:17:20.806 -> RED,66,12,15
23:17:28.052 -> RED,88,15,19
23:17:35.667 -> RED,65,11,14
23:17:43.542 -> RED,91,14,21
23:18:02.186 -> ORANGE,227,91,54
23:18:11.186 -> ORANGE,184,76,42
23:18:16.972 -> ORANGE,234,97,57
23:18:23.371 -> ORANGE,251,99,56
23:18:31.120 -> ORANGE,186,77,46
23:18:38.854 -> ORANGE,187,78,44
23:18:43.870 -> ORANGE,194,79,53
23:18:49.185 -> ORANGE,227,94,56
23:18:55.943 -> ORANGE,246,98,56
23:19:01.055 -> ORANGE,211,88,51
23:19:16.775 -> YELLOW,145,129,62
23:19:23.855 -> YELLOW,169,166,79
23:19:30.463 -> YELLOW,159,170,78
23:19:35.849 -> YELLOW,171,171,78
23:19:41.875 -> YELLOW,169,170,77
23:19:47.272 -> YELLOW,172,174,78
23:19:52.239 -> YELLOW,160,161,75
23:19:56.663 -> YELLOW,171,168,77
23:20:01.914 -> YELLOW,159,163,77
23:20:06.689 -> YELLOW,175,180,79
23:20:21.577 -> GREEN,42,118,58
23:20:30.185 -> GREEN,47,143,66
23:20:35.316 -> GREEN,46,146,68
23:20:40.224 -> GREEN,44,139,67
23:20:45.286 -> GREEN,40,114,56
23:20:49.959 -> GREEN,45,144,68
23:20:54.814 -> GREEN,43,144,53
23:21:01.874 -> GREEN,43,132,63
23:21:06.297 -> GREEN,44,149,69
23:21:10.479 -> GREEN,39,118,53
23:21:21.546 -> LIGHTBLUE,10,78,123
23:21:26.579 -> LIGHTBLUE,8,58,105
23:21:30.729 -> LIGHTBLUE,7,58,101
23:21:34.771 -> LIGHTBLUE,10,99,121
23:21:39.365 -> LIGHTBLUE,7,59,105
23:21:44.396 -> LIGHTBLUE,7,60,112
23:21:48.374 -> LIGHTBLUE,7,63,109
23:21:53.275 -> LIGHTBLUE,8,81,112
23:21:57.502 -> LIGHTBLUE,8,82,110
23:22:01.861 -> LIGHTBLUE,7,79,109
23:22:12.229 -> DARKBLUE,4,23,45
23:22:21.594 -> DARKBLUE,4,22,48
23:22:25.944 -> DARKBLUE,4,17,40
23:22:29.756 -> DARKBLUE,4,28,46
23:22:34.086 -> DARKBLUE,4,27,45
23:22:39.418 -> DARKBLUE,5,32,47
23:22:43.508 -> DARKBLUE,4,29,44
23:22:47.280 -> DARKBLUE,5,30,48
23:22:51.124 -> DARKBLUE,5,26,48
23:22:56.369 -> DARKBLUE,4,28,48
23:23:04.200 -> PURPLE,27,36,61
23:23:08.543 -> PURPLE,26,31,57
23:23:14.037 -> PURPLE,25,31,57
23:23:18.093 -> PURPLE,28,35,60
23:23:22.634 -> PURPLE,26,34,58
23:23:27.133 -> PURPLE,25,32,58
23:23:31.227 -> PURPLE,25,30,56
23:23:36.167 -> PURPLE,25,37,60
23:23:40.228 -> PURPLE,25,35,58
23:23:45.801 -> PURPLE,26,27,53
23:23:53.520 -> PINK,106,76,98
23:23:57.446 -> PINK,119,110,118
23:24:04.141 -> PINK,123,90,115
23:24:08.187 -> PINK,149,121,120
23:24:12.914 -> PINK,126,105,109
23:24:18.633 -> PINK,147,115,122
23:24:23.871 -> PINK,152,120,123
23:24:28.204 -> PINK,144,112,122
23:24:32.361 -> PINK,139,106,119
23:24:38.666 -> PINK,129,94,110
23:21:53.275 -> LIGHTBLUE,8,81,112
23:21:57.502 -> LIGHTBLUE,8,82,110
23:22:01.861 -> LIGHTBLUE,7,79,109
23:22:12.229 -> DARKBLUE,4,23,45
23:22:21.594 -> DARKBLUE,4,22,48
23:22:25.944 -> DARKBLUE,4,17,40
23:22:29.756 -> DARKBLUE,4,28,46
23:22:34.086 -> DARKBLUE,4,27,45
23:22:39.418 -> DARKBLUE,5,32,47
23:22:43.508 -> DARKBLUE,4,29,44
23:22:47.280 -> DARKBLUE,5,30,48
23:22:51.124 -> DARKBLUE,5,26,48
23:22:56.369 -> DARKBLUE,4,28,48
23:23:04.200 -> PURPLE,27,36,61
23:23:08.543 -> PURPLE,26,31,57
23:23:14.037 -> PURPLE,25,31,57
23:23:18.093 -> PURPLE,28,35,60
23:23:22.634 -> PURPLE,26,34,58
23:23:27.133 -> PURPLE,25,32,58
23:23:31.227 -> PURPLE,25,30,56
23:23:36.167 -> PURPLE,25,37,60
23:23:40.228 -> PURPLE,25,35,58
23:23:45.801 -> PURPLE,26,27,53
23:23:53.520 -> PINK,106,76,98
23:23:57.446 -> PINK,119,110,118
23:24:04.141 -> PINK,123,90,115
23:24:08.187 -> PINK,149,121,120
23:24:12.914 -> PINK,126,105,109
23:24:18.633 -> PINK,147,115,122
23:24:23.871 -> PINK,152,120,123
23:24:28.204 -> PINK,144,112,122
23:24:32.361 -> PINK,139,106,119
23:24:38.666 -> PINK,129,94,110
23:24:46.085 -> WHITE,83,159,166
23:24:50.568 -> WHITE,84,156,158
23:24:57.613 -> WHITE,74,145,139
23:25:01.671 -> WHITE,80,159,138
23:25:08.631 -> WHITE,81,158,149
23:25:12.130 -> WHITE,82,161,144
23:25:19.250 -> WHITE,83,154,151
23:25:24.554 -> WHITE,86,162,152
23:25:29.119 -> WHITE,86,163,156
23:25:35.165 -> WHITE,86,168,144
