ROUND #1
13:56:36.568 -> RED,91,21,18
13:56:52.157 -> RED,85,21,16
13:56:59.228 -> RED,110,26,22
13:57:04.563 -> RED,107,24,21
13:57:09.494 -> RED,89,22,18
13:57:14.498 -> RED,80,20,17
13:57:20.812 -> RED,103,24,21
13:57:26.546 -> RED,78,20,15
13:57:31.353 -> RED,90,21,19
13:57:36.589 -> RED,86,21,18
13:58:23.384 -> ORANGE,213,107,45
13:58:30.618 -> ORANGE,238,118,51
13:58:37.117 -> ORANGE,188,98,41
13:58:44.637 -> ORANGE,245,127,55
13:58:50.941 -> ORANGE,203,109,43
13:58:56.325 -> ORANGE,223,111,51
13:59:01.733 -> ORANGE,210,107,48
13:59:07.217 -> ORANGE,196,99,40
13:59:13.211 -> ORANGE,195,100,41
13:59:18.420 -> ORANGE,195,100,43
13:59:56.346 -> YELLOW,190,215,71
14:00:03.030 -> YELLOW,217,254,81
14:00:07.103 -> YELLOW,142,165,52
14:00:11.288 -> YELLOW,146,167,53
14:00:15.706 -> YELLOW,197,229,74
14:00:20.716 -> YELLOW,145,164,53
14:00:26.003 -> YELLOW,192,222,72
14:00:30.652 -> YELLOW,150,168,54
14:00:35.644 -> YELLOW,149,168,54
14:00:48.264 -> YELLOW,197,227,72
14:00:59.183 -> GREEN,61,199,69
14:01:03.803 -> GREEN,59,199,66
14:01:07.817 -> GREEN,50,164,54
14:01:12.826 -> GREEN,56,188,62
14:01:18.111 -> GREEN,47,137,47
14:01:23.210 -> GREEN,49,156,55
14:01:29.428 -> GREEN,50,156,55
14:01:33.978 -> GREEN,45,137,50
14:01:38.331 -> GREEN,54,173,61
14:01:42.567 -> GREEN,58,173,70
14:02:12.389 -> LIGHT BLUE,11,99,151
14:02:17.523 -> LIGHT BLUE,10,103,152
14:02:21.883 -> LIGHT BLUE,12,108,157
14:02:26.364 -> LIGHT BLUE,10,91,135
14:02:31.087 -> LIGHT BLUE,11,101,145
14:02:35.359 -> LIGHT BLUE,10,100,147
14:02:39.303 -> LIGHT BLUE,9,77,110
14:02:44.686 -> LIGHT BLUE,7,72,106
14:02:50.437 -> LIGHT BLUE,11,94,136
14:02:56.940 -> LIGHT BLUE,9,90,136
14:03:05.951 -> DARK BLUE,8,37,73
14:03:11.471 -> DARK BLUE,6,33,71
14:03:21.673 -> DARK BLUE,5,32,70
14:03:26.250 -> DARK BLUE,6,32,70
14:03:30.787 -> DARK BLUE,7,41,84
14:03:35.196 -> DARK BLUE,8,41,83
14:03:40.483 -> DARK BLUE,7,39,81
14:03:45.334 -> DARK BLUE,6,36,79
14:03:49.952 -> DARK BLUE,8,29,63
14:03:54.375 -> DARK BLUE,6,25,52
14:04:19.474 -> PURPLE,46,52,89
14:04:26.460 -> PURPLE,38,42,77
14:04:32.172 -> PURPLE,37,40,74
14:04:36.240 -> PURPLE,33,37,58
14:04:40.613 -> PURPLE,38,42,77
14:04:45.037 -> PURPLE,31,36,59
14:04:50.621 -> PURPLE,29,27,53
14:04:56.278 -> PURPLE,26,34,64
14:05:02.572 -> PURPLE,25,23,45
14:05:07.232 -> PURPLE,19,32,47
14:05:30.069 -> PINK,139,130,124
14:05:36.569 -> PINK,134,109,119
14:05:41.160 -> PINK,169,160,147
14:05:45.885 -> PINK,135,107,125
14:05:51.239 -> PINK,142,134,128
14:05:56.180 -> PINK,120,115,110
14:06:01.676 -> PINK,171,152,145
14:06:07.118 -> PINK,167,155,141
14:06:12.170 -> PINK,163,146,142
14:06:16.491 -> PINK,161,147,140
14:06:33.608 -> WHITE,116,193,200
14:06:39.981 -> WHITE,116,191,198
14:06:45.599 -> WHITE,117,185,199
14:06:50.834 -> WHITE,134,218,220
14:06:55.608 -> WHITE,124,189,204
14:07:01.977 -> WHITE,144,228,228
14:07:06.615 -> WHITE,120,199,205
14:07:11.534 -> WHITE,132,203,220
14:07:16.710 -> WHITE,124,201,210
14:07:21.941 -> WHITE,123,162,191
ROUND #2
14:36:28.735 -> RED,71,14,11
14:36:32.119 -> RED,57,13,10
14:36:33.734 -> RED,54,12,10
14:36:34.866 -> RED,86,18,17
14:36:35.697 -> RED,70,14,13
14:36:36.585 -> RED,75,14,12
14:36:37.437 -> RED,89,17,12
14:36:38.193 -> RED,69,14,11
14:36:39.072 -> RED,80,14,12
14:36:39.993 -> RED,71,17,14
14:36:55.824 -> ORANGE,123,66,27
14:36:56.587 -> ORANGE,76,46,22
14:36:57.572 -> ORANGE,207,106,46
14:36:58.476 -> ORANGE,172,105,39
14:36:59.168 -> ORANGE,153,87,31
14:36:59.961 -> ORANGE,169,84,34
14:37:00.728 -> ORANGE,182,80,35
14:37:01.445 -> ORANGE,163,81,33
14:37:02.342 -> ORANGE,173,80,37
14:37:03.149 -> ORANGE,182,103,45
14:37:16.701 -> YELLOW,135,165,55
14:37:18.074 -> YELLOW,177,154,51
14:37:18.868 -> YELLOW,99,129,45
14:37:19.554 -> YELLOW,148,181,48
14:37:20.243 -> YELLOW,134,167,58
14:37:21.103 -> YELLOW,150,183,61
14:37:22.745 -> YELLOW,139,165,63
14:37:23.689 -> YELLOW,132,168,53
14:37:24.841 -> YELLOW,160,196,55
14:37:25.795 -> YELLOW,147,175,57
14:38:26.119 -> GREEN,32,121,41
14:38:27.091 -> GREEN,33,113,38
14:38:28.094 -> GREEN,44,161,54
14:38:29.287 -> GREEN,41,116,42
14:38:31.933 -> GREEN,24,91,30
14:38:34.757 -> GREEN,39,163,45
14:38:35.867 -> GREEN,46,159,47
14:38:36.819 -> GREEN,39,166,55
14:38:37.743 -> GREEN,45,156,53
14:38:39.121 -> GREEN,43,154,52
14:38:31.933 -> GREEN,24,91,30
14:38:34.757 -> GREEN,39,163,45
14:38:35.867 -> GREEN,46,159,47
14:38:36.819 -> GREEN,39,166,55
14:38:37.743 -> GREEN,45,156,53
14:38:39.121 -> GREEN,43,154,52
14:40:03.023 -> LIGHT BLUE,6,75,113
14:40:03.836 -> LIGHT BLUE,8,57,100
14:40:04.706 -> LIGHT BLUE,6,78,113
14:40:05.538 -> LIGHT BLUE,6,59,109
14:40:06.415 -> LIGHT BLUE,5,48,75
14:40:07.136 -> LIGHT BLUE,5,65,101
14:40:08.311 -> LIGHT BLUE,8,91,124
14:40:09.180 -> LIGHT BLUE,5,58,104
14:40:10.165 -> LIGHT BLUE,6,58,112
14:40:11.152 -> LIGHT BLUE,6,75,125
