label,R,G,B
RED,56,22,13
RED,61,25,11
RED,49,23,12
RED,47,22,15
RED,48,20,10
RED,59,23,16
RED,56,19,11
RED,56,22,13
RED,59,23,14
RED,59,23,13
ORANGE,255,132,49
ORANGE,229,117,42
ORANGE,233,130,48
ORANGE,237,140,40
ORANGE,218,120,41
ORANGE,237,146,60
ORANGE,246,116,48
ORANGE,250,142,42
ORANGE,250,117,48
ORANGE,213,120,48
YELLOW,182,222,80
YELLOW,155,175,66
YELLOW,190,218,74
YELLOW,168,192,62
YELLOW,169,162,66
YELLOW,137,163,79
YELLOW,157,183,61
YELLOW,156,195,73
YELLOW,153,178,70
YELLOW,172,202,71
GREEN,71,156,65
GREEN,46,145,56
GREEN,59,172,68
GREEN,42,124,46
GREEN,45,144,49
GREEN,46,172,59
GREEN,63,123,57
GREEN,58,169,74
GREEN,54,129,64
GREEN,65,152,64
LIGHTBLUE,10,48,138
LIGHTBLUE,10,43,106
LIGHTBLUE,12,44,107
LIGHTBLUE,12,59,145
LIGHTBLUE,10,43,106
LIGHTBLUE,16,72,161
LIGHTBLUE,14,41,105
LIGHTBLUE,10,46,105
LIGHTBLUE,10,43,107
LIGHTBLUE,13,51,141
DARKBLUE,9,22,95
DARKBLUE,5,13,59
DARKBLUE,5,18,66
DARKBLUE,5,13,81
DARKBLUE,9,20,72
DARKBLUE,8,18,73
DARKBLUE,7,18,82
DARKBLUE,5,19,48
DARKBLUE,5,20,61
DARKBLUE,6,18,57
PURPLE,33,34,85
PURPLE,33,34,93
PURPLE,34,29,71
PURPLE,30,29,77
PURPLE,31,39,86
PURPLE,28,26,73
PURPLE,34,35,76
PURPLE,33,29,75
PURPLE,34,31,74
PURPLE,34,26,82
PINK,159,127,143
PINK,149,119,141
PINK,134,107,132
PINK,124,125,102
PINK,115,134,128
PINK,138,132,133
PINK,128,124,127
PINK,161,121,147
PINK,159,130,152
PINK,152,105,165
WHITE,159,255,185
WHITE,115,196,186
WHITE,169,255,168
WHITE,101,255,225
WHITE,136,236,234
WHITE,131,200,227
WHITE,161,238,241
WHITE,144,255,255
WHITE,145,226,246
WHITE,149,255,247
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,1,0
NOBALL,0,0,2
NOBALL,0,0,0
NOBALL,0,0,0
NOBALL,0,0,0
