label,R,G,B
RED,81,13,19
RED,86,15,19
RED,69,12,14
RED,59,10,12
RED,81,14,18
RED,67,11,15
RED,66,12,15
RED,88,15,19
RED,65,11,14
RED,91,14,21
ORANGE,227,91,54
ORANGE,184,76,42
ORANGE,234,97,57
ORANGE,251,99,56
ORANGE,186,77,46
ORANGE,187,78,44
ORANGE,194,79,53
ORANGE,227,94,56
ORANGE,246,98,56
ORANGE,211,88,51
YELLOW,145,129,62
YELLOW,169,166,79
YELLOW,159,170,78
YELLOW,171,171,78
YELLOW,169,170,77
YELLOW,172,174,78
YELLOW,160,161,75
YELLOW,171,168,77
YELLOW,159,163,77
YELLOW,175,180,79
GREEN,42,118,58
GREEN,47,143,66
GREEN,46,146,68
GREEN,44,139,67
GREEN,40,114,56
GREEN,45,144,68
GREEN,43,144,53
GREEN,43,132,63
GREEN,44,149,69
GREEN,39,118,53
LIGHTBLUE,10,78,123
LIGHTBLUE,8,58,105
LIGHTBLUE,7,58,101
LIGHTBLUE,10,99,121
LIGHTBLUE,7,59,105
LIGHTBLUE,7,60,112
LIGHTBLUE,7,63,109
LIGHTBLUE,8,81,112
LIGHTBLUE,8,82,110
LIGHTBLUE,7,79,109
DARKBLUE,4,23,45
DARKBLUE,4,22,48
DARKBLUE,4,17,40
DARKBLUE,4,28,46
DARKBLUE,4,27,45
DARKBLUE,5,32,47
DARKBLUE,4,29,44
DARKBLUE,5,30,48
DARKBLUE,5,26,48
DARKBLUE,4,28,48
PURPLE,27,36,61
PURPLE,26,31,57
PURPLE,25,31,57
PURPLE,28,35,60
PURPLE,26,34,58
PURPLE,25,32,58
PURPLE,25,30,56
PURPLE,25,37,60
PURPLE,25,35,58
PURPLE,26,27,53
PINK,106,76,98
PINK,119,110,118
PINK,123,90,115
PINK,149,121,120
PINK,126,105,109
PINK,147,115,122
PINK,152,120,123
PINK,144,112,122
PINK,139,106,119
PINK,129,94,110
LIGHTBLUE,8,81,112
LIGHTBLUE,8,82,110
LIGHTBLUE,7,79,109
DARKBLUE,4,23,45
DARKBLUE,4,22,48
DARKBLUE,4,17,40
DARKBLUE,4,28,46
DARKBLUE,4,27,45
DARKBLUE,5,32,47
DARKBLUE,4,29,44
DARKBLUE,5,30,48
DARKBLUE,5,26,48
DARKBLUE,4,28,48
PURPLE,27,36,61
PURPLE,26,31,57
PURPLE,25,31,57
PURPLE,28,35,60
PURPLE,26,34,58
PURPLE,25,32,58
PURPLE,25,30,56
PURPLE,25,37,60
PURPLE,25,35,58
PURPLE,26,27,53
PINK,106,76,98
PINK,119,110,118
PINK,123,90,115
PINK,149,121,120
PINK,126,105,109
PINK,147,115,122
PINK,152,120,123
PINK,144,112,122
PINK,139,106,119
PINK,129,94,110
WHITE,83,159,166
WHITE,84,156,158
WHITE,74,145,139
WHITE,80,159,138
WHITE,81,158,149
WHITE,82,161,144
WHITE,83,154,151
WHITE,86,162,152
WHITE,86,163,156
WHITE,86,168,144
NO BALL,1,1,0
NO BALL,1,1,0
NO BALL,1,2,1
NO BALL,1,1,0
NO BALL,1,1,0
NO BALL,0,0,0
NO BALL,0,1,1
NO BALL,0,0,1
NO BALL,0,1,1
NO BALL,0,1,1
