label,R,G,B
RED,82,15,19
RED,89,16,21
RED,81,15,19
RED,91,16,22
RED,94,17,22
RED,95,17,23
RED,92,17,23
RED,93,16,22
RED,83,16,19
RED,87,16,21
ORANGE,239,106,60
ORANGE,231,100,56
ORANGE,234,101,56
ORANGE,231,101,56
ORANGE,251,105,61
ORANGE,242,106,59
ORANGE,240,104,59
ORANGE,227,99,55
ORANGE,235,100,56
ORANGE,199,90,48
YELLOW,182,192,86
YELLOW,166,175,81
YELLOW,184,196,86
YELLOW,182,201,88
YELLOW,158,165,74
YELLOW,165,172,78
YELLOW,181,189,84
YELLOW,163,171,76
YELLOW,182,193,86
YELLOW,162,172,78
GREEN,43,151,56
GREEN,44,146,66
GREEN,47,154,71
GREEN,46,156,72
GREEN,48,163,73
GREEN,47,157,72
GREEN,50,167,76
GREEN,50,168,75
GREEN,48,159,72
GREEN,48,161,74
LIGHTBLUE,13,110,146
LIGHTBLUE,10,90,135
LIGHTBLUE,11,94,139
LIGHTBLUE,10,91,135
LIGHTBLUE,11,100,142
LIGHTBLUE,11,97,142
LIGHTBLUE,12,99,143
LIGHTBLUE,11,98,143
LIGHTBLUE,11,99,142
LIGHTBLUE,10,94,140
DARKBLUE,6,30,70
DARKBLUE,5,30,69
DARKBLUE,6,32,70
DARKBLUE,7,35,73
DARKBLUE,7,35,72
DARKBLUE,5,29,67
DARKBLUE,6,35,73
DARKBLUE,6,32,70
DARKBLUE,5,30,68
DARKBLUE,7,37,74
PURPLE,37,39,75
PURPLE,40,42,79
PURPLE,40,43,79
PURPLE,40,43,82
PURPLE,37,39,75
PURPLE,37,38,73
PURPLE,37,39,75
PURPLE,36,37,73
PURPLE,41,42,80
PURPLE,40,42,80
PINK,185,149,159
PINK,148,114,129
PINK,169,128,146
PINK,189,145,158
PINK,178,138,152
PINK,184,143,155
PINK,173,131,148
PINK,186,147,155
PINK,167,129,145
PINK,178,136,152
WHITE,155,244,250
WHITE,161,255,255
WHITE,153,239,249
WHITE,127,207,196
WHITE,147,229,239
WHITE,147,230,241
WHITE,158,207,254
WHITE,169,255,255
WHITE,161,255,255
WHITE,163,255,255
NOBALL,0,0,0
NOBALL,0,0,0
