21-40-51-258,90-26
21-40-52-695,90-18
21-40-54-081,89-91
21-40-55-479,89-56
21-40-56-899,90-35
21-40-58-266,90-09
21-40-59-666,90-00
21-41-01-070,89-38
21-41-02-485,90-44
21-41-03-875,90-18
21-41-05-276,90-00
21-41-06-706,89-38
21-41-08-120,90-44
21-41-09-487,90-18
21-41-10-906,90-00
21-41-12-292,89-38
21-41-13-743,90-44
21-41-15-128,90-18
21-41-16-528,90-00
21-41-17-946,89-30
21-41-19-332,90-53
21-41-20-714,90-18
21-41-22-133,90-00
21-41-23-551,89-38
21-41-24-971,90-35
21-41-26-337,90-26
21-41-27-755,90-00
21-41-29-175,89-30
21-41-30-575,90-62
21-41-31-941,90-09
21-41-33-342,89-91
21-41-34-764,89-38
21-41-36-163,90-44
21-41-37-548,90-18
21-41-38-953,90-09
21-41-40-383,89-38
21-41-41-768,90-44
21-41-43-163,90-18
21-41-44-604,90-00
21-41-46-006,89-21
21-41-47-420,90-35
21-41-48-811,90-35
21-41-50-209,90-09
21-41-51-624,89-21
21-41-53-010,90-44
21-41-54-446,90-26
21-41-55-812,90-00
21-41-57-220,89-38
21-41-58-649,90-35
21-42-00-033,90-26
21-42-01-433,90-09
21-42-02-850,89-21
21-42-04-255,90-26
21-42-05-654,90-53
21-42-07-073,90-00
21-42-08-471,89-21
21-42-09-875,90-18
21-42-11-257,90-62
21-42-12-674,90-00
21-42-14-076,89-21
21-42-15-476,90-18
21-42-16-880,90-53
21-42-18-312,90-00
21-42-19-700,89-21
21-42-21-082,90-26
21-42-22-515,90-53
21-42-23-918,90-00
21-42-25-286,89-21
21-42-26-702,90-18
21-42-28-103,90-62
21-42-29-507,90-00
21-42-30-905,89-21
21-42-32-309,90-09
21-42-33-710,90-70
21-42-35-107,90-09
21-42-36-511,89-12
21-42-37-949,90-18
21-42-39-330,90-62
21-42-40-762,90-00
21-42-42-169,89-21
21-42-43-552,90-09
21-42-44-937,90-70
21-42-46-355,90-00
21-42-47-770,89-21
21-42-49-156,90-09
21-42-50-550,90-70
21-42-51-960,90-00
21-42-53-355,89-21
21-42-54-776,90-09
21-42-56-180,90-70
21-42-57-598,90-00
21-42-59-000,89-21
21-43-00-380,90-09
21-43-01-794,90-70
21-43-03-184,90-00
21-43-04-633,89-21
21-43-06-001,90-09
21-43-07-421,90-70
21-43-08-807,90-00
21-43-10-238,89-21
21-43-11-609,90-00
21-43-13-008,90-88
21-43-14-413,89-91
21-43-15-811,89-21
21-43-17-229,90-00
21-43-18-650,90-79
21-43-20-049,90-00
21-43-21-466,89-30
21-43-22-848,90-09
21-43-24-249,90-62
21-43-25-647,90-00
21-43-27-051,89-21
21-43-28-452,90-18
21-43-29-879,90-62
21-43-31-273,90-00
21-43-32-677,89-21
21-43-34-099,90-18
21-43-35-511,90-62
21-43-36-877,90-00
21-43-38-317,89-30
21-43-39-715,90-09
21-43-41-101,90-62
21-43-42-493,90-00
21-43-43-901,89-21
21-43-45-320,90-18
21-43-46-722,90-62
21-43-48-121,90-00
21-43-49-542,89-21
21-43-50-940,90-18
21-43-52-344,90-62
21-43-53-724,90-09
21-43-55-146,89-12
21-43-56-563,90-00
21-43-57-962,90-79
21-43-59-348,90-00
21-44-00-751,89-30
21-44-02-151,90-00
21-44-03-550,90-70
21-44-04-953,90-00
21-44-06-371,89-21
21-44-07-789,89-91
21-44-09-190,90-88
21-44-10-566,90-00
21-44-11-987,89-21
21-44-13-374,89-91
21-44-14-776,90-88
21-44-16-196,90-00
21-44-17-610,89-21
21-44-18-978,89-91
21-44-20-403,90-88
21-44-21-787,90-00
21-44-23-205,89-21
21-44-24-601,89-91
21-44-26-021,90-88
21-44-27-420,90-00
21-44-28-813,89-21
21-44-30-225,89-91
21-44-31-622,90-88
21-44-33-027,90-00
21-44-34-461,89-21
21-44-35-846,89-91
21-44-37-257,90-88
21-44-38-631,90-00
21-44-40-069,89-21
21-44-41-448,89-91
21-44-42-849,90-88
21-44-44-254,90-00
21-44-45-650,89-21
21-44-47-087,89-91
21-44-48-488,90-88
21-44-49-890,90-00
21-44-51-273,89-21
21-44-52-690,89-91
21-44-54-093,90-88
21-44-55-492,90-00
21-44-56-929,89-21
21-44-58-311,89-91
21-44-59-715,90-88
21-45-01-117,90-00
21-45-02-499,89-21
21-45-03-899,89-91
21-45-05-303,90-88
21-45-06-737,90-00
21-45-08-139,89-21
21-45-09-521,89-91
21-45-10-926,90-88
21-45-12-362,90-00
21-45-13-774,89-21
21-45-15-161,89-91
21-45-16-541,90-88
21-45-17-945,90-00
21-45-19-347,89-21
21-45-20-782,89-91
21-45-22-182,90-88
21-45-23-568,90-00
21-45-24-959,89-21
21-45-26-372,89-91
21-45-27-808,90-88
21-45-29-165,90-00
21-45-30-574,89-21
21-45-31-975,89-91
21-45-33-409,90-88
21-45-34-793,90-00
21-45-36-215,89-21
21-45-37-597,89-91
21-45-39-016,90-88
21-45-40-397,90-00
21-45-41-832,89-21
21-45-43-202,89-91
21-45-44-632,90-88
21-45-46-036,90-00
21-45-47-420,89-30
21-45-48-839,89-91
21-45-50-254,90-79
